DATE,M1SL_CHG
2014-05-01,11.1
2014-06-01,31.9
2014-07-01,20.1
2014-08-01,-50.3
2014-09-01,74.2
2014-10-01,19.2
2014-11-01,7.8
2014-12-01,67.6
2015-01-01,-2.9
2015-02-01,57.0
2015-03-01,-13.1
2015-04-01,2.3
2015-05-01,-20.5
2015-06-01,34.8
2015-07-01,21.0
2015-08-01,-16.8
2015-09-01,27.2
2015-10-01,-18.7
2015-11-01,57.3
2015-12-01,20.7
2016-01-01,-0.7
2016-02-01,28.2
2016-03-01,21.2
2016-04-01,44.9
2016-05-01,38.8
2016-06-01,5.9
2016-07-01,-0.7
2016-08-01,71.0
2016-09-01,14.0
2016-10-01,11.8
2016-11-01,15.9
2016-12-01,-9.3
2017-01-01,48.1
2017-02-01,9.9
2017-03-01,48.2
2017-04-01,-0.9
2017-05-01,65.8
2017-06-01,9.1
2017-07-01,22.0
2017-08-01,39.2
2017-09-01,-16.0
2017-10-01,37.3
2017-11-01,21.6
2017-12-01,-16.1
2018-01-01,37.8
2018-02-01,-36.7
2018-03-01,50.1
2018-04-01,-7.9
2018-05-01,-2.6
2018-06-01,1.6
2018-07-01,25.9
2018-08-01,13.5
2018-09-01,7.2
2018-10-01,23.9
2018-11-01,-21.9
2018-12-01,60.1
2019-01-01,-19.9
2019-02-01,6.8
2019-03-01,-16.2
2019-04-01,44.3
2019-05-01,8.7
2019-06-01,44.1
2019-07-01,32.9
2019-08-01,-3.0
2019-09-01,39.2
2019-10-01,30.4
2019-11-01,21.2
2019-12-01,55.6
2020-01-01,-30.8
2020-02-01,2.0
2020-03-01,281.3
2020-04-01,527.9
2020-05-01,11456.7
2020-06-01,328.6
2020-07-01,200.4
2020-08-01,124.3
2020-09-01,271.7
2020-10-01,195.2
2020-11-01,247.2
2020-12-01,190.1
2021-01-01,260.0
2021-02-01,259.3
2021-03-01,273.4
2021-04-01,350.5
2021-05-01,320.1
2021-06-01,60.9
2021-07-01,166.8
2021-08-01,226.9
2021-09-01,142.3
2021-10-01,194.0
2021-11-01,189.6
2021-12-01,189.4
2022-01-01,64.0
2022-02-01,77.7
2022-03-01,113.1
2022-04-01,17.4
2022-05-01,-32.1
2022-06-01,-69.6
2022-07-01,-65.9
2022-08-01,-84.3
2022-09-01,-152.3
2022-10-01,-162.1
2022-11-01,-169.3
2022-12-01,-207.8
2023-01-01,-211.0
2023-02-01,-191.1
2023-03-01,-394.0
2023-04-01,-321.7
2023-05-01,-50.8
2023-06-01,-110.6
2023-07-01,-104.1
2023-08-01,-110.1
2023-09-01,-119.9
2023-10-01,-81.6
2023-11-01,-61.1
2023-12-01,3.3
2024-01-01,-35.3
2024-02-01,-41.8
2024-03-01,63.0
2024-04-01,-8.2
2024-05-01,46.4
