period,sharpe_ratio,max_drawdown
2015-04-24_to_2017-04-24,1.2484686633370181,-0.19359197715467102
2013-10-09_to_2015-10-08,0.9856214107256245,-0.1189072680586124
2012-07-06_to_2014-07-09,1.4747490331213238,-0.11430296826330089
2016-07-05_to_2018-07-03,2.0191800528885695,-0.10700593822352056
2016-11-22_to_2018-11-21,1.4121410777415515,-0.14826260715637796
2015-11-23_to_2017-11-21,1.5603668475537642,-0.1857350303276868
2011-05-12_to_2013-05-14,0.8131317701014288,-0.2096900314186354
2010-11-17_to_2012-11-17,0.4260775739922573,-0.2096898947146031
2016-08-19_to_2018-08-20,1.7853933625943026,-0.10700592346377524
2015-05-15_to_2017-05-15,1.2583110913489661,-0.19359190966210438
